# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, unit: Angstrom, datatype: float64}
# - {name: flux, unit: erg / (Angstrom cm2 s), datatype: float64}
# schema: astropy-2.0
wavelength flux
1134.966 1.4966439199071147e-10
1136.104 1.853686371067198e-10
1137.243 1.8170039084441925e-10
1138.383 1.2912221292182835e-10
1139.525 7.160413928453124e-11
1140.667 7.544356805944119e-11
1141.81 1.0686820178795743e-10
1142.955 1.0980279185890397e-10
1144.101 1.1387862181022612e-10
1145.248 1.4852315211033584e-10
1146.396 1.58468169142445e-10
1147.545 1.5064258174213307e-10
1148.696 1.6319613715953804e-10
1149.847 1.7387480344410735e-10
1151.0 1.7338570856839652e-10
1152.199951171875 1.6435680594284463e-10
1153.4000244140625 2.2559897006058094e-10
1156.9000244140625 3.3393532383740876e-10
1158.0999755859375 3.9000508378350673e-10
1159.300048828125 2.0948724699376697e-10
1160.4000244140625 1.139940086769542e-10
1161.5999755859375 2.1980092745899071e-10
1162.800048828125 2.585834046886504e-10
1164.0 1.2655693160112946e-10
1165.199951171875 4.313194940097631e-11
1169.9000244140625 4.138676554243936e-11
1171.0999755859375 6.597555834986224e-11
1172.199951171875 1.6183311635220576e-11
1173.4000244140625 6.758148207719472e-11
1174.5999755859375 1.1195043503331448e-10
1175.800048828125 5.557020815727398e-11
1185.199951171875 2.0428360392177325e-11
1198.199951171875 1.2031877230644916e-11
1199.4000244140625 2.329581839932704e-11
1201.699951171875 0.0
1202.9000244140625 0.0
1204.0999755859375 0.0
1205.300048828125 0.0
1206.5 0.0
1207.5999755859375 0.0
1208.800048828125 0.0
1210.0 0.0
1211.199951171875 0.0
1212.4000244140625 0.0
1213.5 0.0
1214.699951171875 0.0
1215.9000244140625 0.0
1217.0999755859375 0.0
1218.300048828125 0.0
1219.4000244140625 0.0
1220.5999755859375 0.0
1221.800048828125 0.0
1223.0 0.0
1224.199951171875 0.0
1225.300048828125 0.0
1226.5 0.0
1227.699951171875 0.0
1228.9000244140625 0.0
1230.0 2.862955532367817e-11
1231.199951171875 3.7603427316401656e-11
1232.4000244140625 6.47673234488444e-11
1233.5999755859375 5.364282629205519e-11
1234.800048828125 5.6269211512471884e-11
1235.9000244140625 3.59011223527439e-11
1237.0999755859375 3.1554980850501124e-11
1238.300048828125 8.401362938670333e-11
1239.5 1.1397250504474599e-10
1240.699951171875 8.375783400182968e-11
1241.800048828125 1.311779157520121e-10
1243.0 1.613118250087808e-10
1244.199951171875 8.159577874478073e-11
1245.4000244140625 5.5910619883858814e-11
1246.5999755859375 7.510708721625292e-11
1247.699951171875 9.226648611804222e-11
1248.9000244140625 1.137406002715835e-10
1250.0999755859375 1.751299522068095e-10
1251.300048828125 2.0996189509236984e-10
1252.5 2.2717365488755803e-10
1253.5999755859375 2.546183541785041e-10
1254.800048828125 2.755002892484981e-10
1256.0 3.0746422075011987e-10
1257.199951171875 3.08074898924815e-10
1258.4000244140625 3.1473956774163975e-10
1259.5 3.025653338983858e-10
1260.699951171875 3.427884087692235e-10
1261.9000244140625 5.524964374892249e-10
1263.0999755859375 5.928410540256835e-10
1264.300048828125 5.515539691636206e-10
1265.4000244140625 6.52033871340052e-10
1266.5999755859375 7.587785399998381e-10
1267.800048828125 1.0381557835614783e-09
1269.0 1.2326158982389757e-09
1270.199951171875 1.2147182149035984e-09
1271.300048828125 1.2700308582580533e-09
1272.5 1.2185960018840092e-09
1273.699951171875 1.102316238288381e-09
1274.9000244140625 1.0603097289063612e-09
1276.0999755859375 1.1458712867451482e-09
1277.199951171875 1.3443328672479993e-09
1278.4000244140625 1.5542480635843958e-09
1279.5999755859375 1.811189198619445e-09
1280.800048828125 2.1036870023749543e-09
1282.0 2.306384638828263e-09
1283.0999755859375 2.425594614052784e-09
1284.300048828125 2.3537081172975154e-09
1285.5 2.172211521767054e-09
1286.699951171875 2.120468467481373e-09
1287.9000244140625 2.1201367328416154e-09
1289.0 2.3271038429584223e-09
1290.199951171875 2.5565360939339143e-09
1291.4000244140625 2.745595528708122e-09
1292.5999755859375 2.9424576108993965e-09
1293.800048828125 3.033868711810328e-09
1294.9000244140625 3.0960101149446473e-09
1296.0999755859375 3.076688015468676e-09
1297.300048828125 2.9996518602359856e-09
1298.5 2.8457558531869154e-09
1299.699951171875 2.6337017011712764e-09
1300.800048828125 2.2132540244967917e-09
1302.0 1.9833505948696484e-09
1303.199951171875 1.9961741148932784e-09
1304.4000244140625 2.0355528373983134e-09
1305.5999755859375 2.0305741532666847e-09
1306.699951171875 2.1113732984190396e-09
1307.9000244140625 2.1703303598741286e-09
1309.0999755859375 2.1699302354960533e-09
1310.300048828125 2.40071162949107e-09
1311.5 2.7974782490503e-09
1312.5999755859375 3.2665692373257116e-09
1313.800048828125 3.717032903693962e-09
1315.0 4.0382035493280455e-09
1316.199951171875 4.146975207675041e-09
1317.300048828125 4.2191179439043935e-09
1318.5 4.363041927746281e-09
1319.699951171875 4.475169568252113e-09
1320.9000244140625 4.472300751956482e-09
1322.0999755859375 4.365785954973944e-09
1323.199951171875 4.364481664964615e-09
1324.4000244140625 4.193680958053392e-09
1325.5999755859375 4.191715863299805e-09
1326.800048828125 4.220243265962154e-09
1328.0 4.217340254797364e-09
1329.0999755859375 4.141921916556157e-09
1330.300048828125 4.2591352666931925e-09
1331.5 3.928164016286927e-09
1332.699951171875 3.5741947179701583e-09
1333.9000244140625 3.437540252448912e-09
1335.0 3.74642139533421e-09
1336.199951171875 4.175839674047665e-09
1337.4000244140625 4.9113064726213915e-09
1338.5999755859375 5.334324981731697e-09
1339.800048828125 5.524097623776925e-09
1340.9000244140625 5.589504858960481e-09
1342.0999755859375 5.570411687472188e-09
1343.300048828125 5.7426809974003845e-09
1344.5 5.5554485456355e-09
1345.699951171875 5.570817140920781e-09
1346.800048828125 5.510460976410059e-09
1348.0 5.461900709491374e-09
1349.199951171875 5.3435478264418634e-09
1350.4000244140625 5.083056642263273e-09
1351.5999755859375 4.89033746831069e-09
1352.699951171875 4.651087959217648e-09
1353.9000244140625 4.621922844449955e-09
1355.0999755859375 4.499766337318079e-09
1356.300048828125 4.564295164044552e-09
1357.5 4.699444833278221e-09
1358.5999755859375 5.0528141670724835e-09
1359.800048828125 5.108199196968144e-09
1361.0 4.978713441516902e-09
1362.199951171875 5.102646305488179e-09
1363.4000244140625 5.042450457182213e-09
1364.5 4.973248479700487e-09
1365.699951171875 5.086035592682947e-09
1366.9000244140625 5.101239874960584e-09
1368.0999755859375 5.032214200895169e-09
1369.300048828125 5.111851830719161e-09
1370.4000244140625 5.234903621698095e-09
1371.5999755859375 5.262749347423323e-09
1372.800048828125 5.4077364808335915e-09
1374.0 5.635529376490922e-09
1375.199951171875 5.714906770037942e-09
1376.300048828125 5.592073470950254e-09
1377.5 5.502104549748309e-09
1378.699951171875 5.60102897395609e-09
1379.9000244140625 5.3759148244125746e-09
1381.0999755859375 5.308205874854366e-09
1382.199951171875 5.672487368713064e-09
1383.4000244140625 5.675138137206659e-09
1384.5999755859375 5.519986245872133e-09
1385.800048828125 5.487906129530984e-09
1387.0 5.5227533657387085e-09
1388.0999755859375 5.6820610438990116e-09
1389.300048828125 5.656538348830509e-09
1390.5 5.668586489093741e-09
1391.699951171875 5.5868798476410575e-09
1392.9000244140625 5.485806475746813e-09
1394.0 5.412349235456303e-09
1395.199951171875 5.4232773827322944e-09
1396.4000244140625 5.329389818342634e-09
1397.5999755859375 5.211305165175872e-09
1398.800048828125 5.360636823326104e-09
1399.9000244140625 5.656134227649545e-09
1401.0999755859375 5.7113154205978844e-09
1402.300048828125 5.7197651059937016e-09
1403.5 5.7506159834019854e-09
1404.699951171875 5.894659871330532e-09
1405.800048828125 6.212751646472725e-09
1407.0 6.1808571594212935e-09
1408.199951171875 5.934572833155016e-09
1409.4000244140625 5.824160265177625e-09
1410.5 5.8532343416572985e-09
1411.699951171875 5.962349280963508e-09
1412.9000244140625 6.219619042013846e-09
1414.0999755859375 6.291074328146351e-09
1415.300048828125 6.207756086951122e-09
1416.4000244140625 6.503627414389257e-09
1417.5999755859375 6.462738788570732e-09
1418.800048828125 6.4526202159242985e-09
1420.0 6.473262814665759e-09
1421.199951171875 6.431302157494656e-09
1422.300048828125 6.4573413283142145e-09
1423.5 6.5654068848175484e-09
1424.699951171875 6.633563920388497e-09
1425.9000244140625 6.642718819449556e-09
1427.0999755859375 6.6634227025019754e-09
1428.199951171875 6.398661156481467e-09
1429.4000244140625 6.110864259056825e-09
1430.5999755859375 5.936349634083626e-09
1431.800048828125 5.698559402134151e-09
1433.0 5.848960871190911e-09
1434.0999755859375 6.176481992525851e-09
1435.300048828125 6.0770894982908885e-09
1436.5 6.319552880995616e-09
1437.699951171875 6.589626622144351e-09
1438.9000244140625 6.382280037797727e-09
1440.0 6.5887935107866724e-09
1441.199951171875 6.709870881138613e-09
1442.4000244140625 6.581019729168247e-09
1443.5999755859375 6.637268956666276e-09
1444.800048828125 6.798954732545326e-09
1445.9000244140625 6.962954213207695e-09
1447.0999755859375 7.146377267730485e-09
1448.300048828125 7.117675782097876e-09
1449.5 7.195154694272787e-09
1450.699951171875 7.183069250515927e-09
1451.800048828125 7.200788409988945e-09
1453.0 7.2041372867204245e-09
1454.199951171875 7.1709500559791195e-09
1455.4000244140625 7.164103532630862e-09
1456.5999755859375 7.160281256801682e-09
1457.699951171875 7.15954895369464e-09
1458.9000244140625 6.943714492280151e-09
1460.0999755859375 6.880284342258847e-09
1461.300048828125 7.087725073517959e-09
1462.5 6.8835075417439384e-09
1463.5999755859375 6.579336631062915e-09
1464.800048828125 6.434528909693427e-09
1466.0 6.6324892245006595e-09
1467.199951171875 6.631610816043576e-09
1468.4000244140625 6.428970689142943e-09
1469.5 6.429596854928832e-09
1470.699951171875 6.388245932242853e-09
1471.9000244140625 6.169630584196284e-09
1473.0999755859375 6.229102123000985e-09
1474.300048828125 6.3466578659188144e-09
1475.4000244140625 6.586869716329602e-09
1476.5999755859375 6.825100928864458e-09
1477.800048828125 6.877395097859562e-09
1479.0 6.635447302727471e-09
1480.199951171875 6.409663910744712e-09
1481.300048828125 6.474640823483924e-09
1482.5 6.470968205718464e-09
1483.699951171875 6.437558042193814e-09
1484.9000244140625 6.6624421535266265e-09
1486.0999755859375 7.02407243480252e-09
1487.199951171875 7.374865607090442e-09
1488.4000244140625 7.401804946738366e-09
1489.5999755859375 7.114119515705397e-09
1490.800048828125 6.875535252248711e-09
1492.0 6.856500700536117e-09
1493.0999755859375 6.907848071335821e-09
1494.300048828125 6.9859305007469175e-09
1495.5 7.31086613470211e-09
1496.699951171875 7.782290367686072e-09
1497.800048828125 7.885388342288023e-09
1499.0 7.82459874670849e-09
1500.199951171875 7.810936786256661e-09
1501.4000244140625 7.721115302672388e-09
1502.5999755859375 7.643989441419308e-09
1503.699951171875 7.55749951508733e-09
1504.9000244140625 7.280909208873254e-09
1506.0999755859375 7.004948621158746e-09
1507.300048828125 6.675086705598687e-09
1508.5 6.5121201764384296e-09
1509.5999755859375 6.432345323048594e-09
1510.800048828125 6.3989311627210554e-09
1512.0 6.5719554243059974e-09
1513.199951171875 6.793435591845309e-09
1514.4000244140625 6.912139749459811e-09
1515.5 7.028706061618095e-09
1516.699951171875 7.090903864082065e-09
1517.9000244140625 7.2518080429517795e-09
1519.0999755859375 7.64146523835052e-09
1520.300048828125 7.730183604337526e-09
1521.4000244140625 7.3827299829076765e-09
1522.5999755859375 7.231603316171231e-09
1523.800048828125 7.097778365050544e-09
1525.0 6.8498429151020446e-09
1526.199951171875 6.802983065767876e-09
1527.300048828125 6.759685700075124e-09
1528.5 6.645967332019609e-09
1529.699951171875 6.901389237867761e-09
1530.9000244140625 6.866542889838456e-09
1532.0999755859375 6.584104372819866e-09
1533.199951171875 6.58560139754627e-09
1534.4000244140625 6.759351744989316e-09
1535.5999755859375 7.1543548862962325e-09
1536.800048828125 7.226384823866283e-09
1538.0 7.308468941147339e-09
1539.0999755859375 7.448371697194034e-09
1540.300048828125 7.324351347648418e-09
1541.5 7.1554002722962196e-09
1542.699951171875 7.169114635274809e-09
1543.9000244140625 7.208943220149423e-09
1545.0 7.084804298784775e-09
1546.199951171875 7.064756779584513e-09
1547.4000244140625 7.368548882169534e-09
1548.5999755859375 7.467342300060409e-09
1549.800048828125 7.3301040792728145e-09
1550.9000244140625 7.107843202902585e-09
1552.0999755859375 7.1410091173618184e-09
1553.300048828125 7.1649406407914285e-09
1554.5 7.067341378785841e-09
1555.699951171875 6.7794139191335034e-09
1556.800048828125 6.466103652513766e-09
1558.0 6.379763828334717e-09
1559.199951171875 6.339268665556119e-09
1560.4000244140625 6.35152908046166e-09
1561.5999755859375 6.611543756918082e-09
1562.699951171875 6.7798371361504906e-09
1563.9000244140625 6.846220479417298e-09
1565.0999755859375 7.145615654735593e-09
1566.300048828125 7.273081692460437e-09
1567.5 7.220517961314953e-09
1568.5999755859375 6.975080069082651e-09
1569.800048828125 6.735542790181626e-09
1571.0 6.8406054154479534e-09
1572.199951171875 6.822973741549276e-09
1573.4000244140625 6.775644489920296e-09
1574.5 6.906473615231334e-09
1575.699951171875 6.948102537762679e-09
1576.9000244140625 7.107350263879653e-09
1578.0999755859375 7.306128591011429e-09
1579.300048828125 7.407502167211533e-09
1580.4000244140625 7.3822263857437065e-09
1581.5999755859375 7.422106929055872e-09
1582.800048828125 7.336661056456251e-09
1584.0 7.297630055802529e-09
1585.0999755859375 7.355487774418634e-09
1586.300048828125 7.25011917168672e-09
1587.5 7.2699135600373666e-09
1588.699951171875 7.241540256330837e-09
1589.9000244140625 7.2460020206222e-09
1591.0 7.239867816366541e-09
1592.199951171875 7.026940807008941e-09
1593.4000244140625 7.103463595115046e-09
1594.5999755859375 7.176006455722472e-09
1595.800048828125 7.203804663902248e-09
1596.9000244140625 7.279215896716096e-09
1598.0999755859375 7.258042167279654e-09
1599.300048828125 7.119201672622921e-09
1600.5 7.100060539499964e-09
1601.699951171875 7.087329390031982e-09
1602.800048828125 6.890670256609609e-09
1604.0 7.016546010873981e-09
1605.199951171875 7.0845298516530875e-09
1606.4000244140625 7.147508362947974e-09
1607.5999755859375 7.142531899262394e-09
1608.699951171875 7.201947482826654e-09
1609.9000244140625 7.217972886053303e-09
1611.0999755859375 7.1471459861527364e-09
1612.300048828125 7.154951742194271e-09
1613.5 7.257372480751201e-09
1614.5999755859375 7.206170327123118e-09
1615.800048828125 7.361558029828074e-09
1617.0 7.320555717171828e-09
1618.199951171875 7.205054330938765e-09
1619.4000244140625 7.17675385786265e-09
1620.5 7.311382610453165e-09
1621.699951171875 7.3919617094020396e-09
1622.9000244140625 7.346323993573378e-09
1624.0999755859375 7.239569388417522e-09
1625.300048828125 7.16653492105479e-09
1626.4000244140625 7.193943218908316e-09
1627.5999755859375 7.170580573756524e-09
1628.800048828125 7.101869758940893e-09
1630.0 7.1114234501123966e-09
1631.199951171875 7.1149832692185555e-09
1632.300048828125 7.046448757819235e-09
1633.5 7.035882543249272e-09
1634.699951171875 7.214218999962441e-09
1635.9000244140625 7.178759364734333e-09
1637.0999755859375 7.0398331608600975e-09
1638.199951171875 7.2627135416780675e-09
1639.4000244140625 7.269505886142725e-09
1640.5999755859375 7.061959461651669e-09
1641.800048828125 7.091258691360736e-09
1643.0 7.137356039521592e-09
1644.0999755859375 7.106699229098012e-09
1645.300048828125 7.2427122077556305e-09
1646.5 7.300518412023393e-09
1647.699951171875 7.216926167785687e-09
1648.9000244140625 7.15409687046531e-09
1650.0 7.062477713759563e-09
1651.199951171875 6.859934842395887e-09
1652.4000244140625 6.6041505597524974e-09
1653.5999755859375 6.332874225023488e-09
1654.800048828125 5.786429113641134e-09
1655.9000244140625 5.426500582217386e-09
1657.0999755859375 5.5951967503631295e-09
1658.300048828125 5.888435072876064e-09
1659.5 6.305978850207339e-09
1660.699951171875 6.3745493328326575e-09
1661.800048828125 6.381697836843615e-09
1663.0 6.485157300062383e-09
1664.199951171875 7.038895244448895e-09
1665.4000244140625 6.971625499119227e-09
1666.5999755859375 6.729562684881785e-09
1667.699951171875 6.624354398354626e-09
1668.9000244140625 6.585166190120617e-09
1670.0999755859375 6.431670751538832e-09
1671.300048828125 6.476863934068434e-09
1672.5 6.556866605222922e-09
1673.5999755859375 6.46410658333707e-09
1674.800048828125 6.610066272116909e-09
1676.115356 6.8205001646504115e-09
1677.486328 6.919900208401942e-09
1678.857422 6.8677001863193254e-09
1680.228516 6.94039981041783e-09
1681.599609 7.031299986692828e-09
1682.970703 6.999799850859745e-09
1684.341797 6.910399807935619e-09
1685.712891 6.740199953725324e-09
1687.083984 6.707200128630575e-09
1688.4552 6.797800100599715e-09
1689.826294 6.7879999399167446e-09
1691.19751 6.715799916179321e-09
1692.568726 6.672999930401603e-09
1693.939941 6.609400138302133e-09
1695.311157 6.535299856835764e-09
1696.682373 6.477800074122796e-09
1698.053589 6.586499790017797e-09
1699.424927 6.6306999890741736e-09
1700.796143 6.554599973895847e-09
1702.16748 6.480600056590903e-09
1703.538818 6.499000004822619e-09
1704.910156 6.533599883340458e-09
1706.281494 6.4530998322709365e-09
1707.652832 6.36450003810296e-09
1709.02417 6.425299847734323e-09
1710.395508 6.501200022768217e-09
1711.766968 6.5052998543535515e-09
1713.138428 6.510000094550606e-09
1714.509766 6.5028000761913055e-09
1715.881226 6.564300214506602e-09
1717.252686 6.492499871058046e-09
1718.624146 6.33129992877457e-09
1719.995605 6.191899881713425e-09
1721.367188 6.294400112238917e-09
1722.738647 6.376799976948178e-09
1724.110107 6.231000160283882e-09
1725.481689 6.126000151596145e-09
1726.853271 6.397499863197709e-09
1728.224854 6.583800171711118e-09
1729.596436 6.562599796922086e-09
1730.968018 6.387200102153656e-09
1732.3396 6.345000080898443e-09
1733.711182 6.338900071511944e-09
1735.082886 6.401399854638612e-09
1736.454468 6.427100185391055e-09
1737.826172 6.468599877962333e-09
1739.197876 6.611999836536597e-09
1740.569458 6.498400040300112e-09
1741.941162 6.3756000479031635e-09
1743.312866 6.395799889702403e-09
1744.684692 6.358800153094534e-09
1746.056396 6.348699788105705e-09
1747.428101 6.366200011598265e-09
1748.799927 6.426000176418256e-09
1750.171753 6.4751000117269095e-09
1751.543457 6.481499781330058e-09
1752.915283 6.590799905836774e-09
1754.287109 6.741299962698122e-09
1755.658936 6.834299792757293e-09
1757.030762 6.745199954139024e-09
1758.40271 6.599799817763596e-09
1759.774536 6.3371001779444205e-09
1761.146362 6.237399929887034e-09
1762.518311 6.2628999764058335e-09
1763.890259 6.1941998197312395e-09
1765.262207 6.198300095405785e-09
1766.634033 6.314599954038159e-09
1768.005981 6.363800153508237e-09
1769.378052 6.399699881143306e-09
1770.75 6.432200105876973e-09
1772.121948 6.432200105876973e-09
1773.494019 6.480400216446468e-09
1774.865967 6.483800163437081e-09
1776.238037 6.559099929859258e-09
1777.610107 6.634099936064786e-09
1778.982056 6.6872001269757675e-09
1780.354126 6.629099935651084e-09
1781.726196 6.5234999624408366e-09
1783.098389 6.509000005650024e-09
1784.470459 6.394099916207097e-09
1785.842529 6.292600218671396e-09
1787.214722 6.294799792527783e-09
1788.586792 6.457200107945482e-09
1789.958984 6.678699815410027e-09
1791.331177 6.803400065535925e-09
