# %ECSV 1.0
# ---
# datatype:
# - {name: WAV, unit: Angstrom, datatype: float64}
# - {name: EFF, datatype: float64}
# meta: !!omap
# - {DICHROIC: MIRROR}
# - {GRATING: 1200/9000}
# schema: astropy-2.0
WAV EFF
7361.245521302448 0.0
7362.827572029117 0.0
7364.409622757907 0.0
7365.993627240879 0.0
7367.575189535893 0.0
7369.158705585087 0.0
7371.135902678481 0.0
7372.719907170455 0.0
7374.303423226529 0.0
7375.885962408675 0.0
7377.470455345016 0.0
7379.054948283467 0.0
7380.636999033924 0.0
7382.22198041462 0.0
7383.80793867347 0.0
7385.389500992222 0.0
7386.974482379239 0.0
7388.955098568442 0.0
7390.5400799601975 0.0
7392.126038230107 0.0
7393.7105311880405 0.0
7395.296001024129 0.0
7396.881470862317 0.0
7398.467429140632 0.0
7400.053875859075 0.0
7401.638857265525 0.0
7403.224327112101 0.0
7405.207385518341 0.0
7406.794809121752 0.0
7408.381255851192 0.0
7409.96672570666 0.0
7411.555126192414 0.0
7413.140596052055 0.0
7414.728019665923 0.0
7416.316420157949 0.0
7417.902378461881 0.0
7419.491267396117 0.0
7421.078691018328 0.0
7423.064191644114 0.0
7424.650638394928 0.0
7426.240504214101 0.0
7427.828416283193 0.0
7429.416328354362 0.0
7431.005705741733 0.0
7432.593129379014 0.0
7434.182018332493 0.0
7435.771395726092 0.0
7437.360773121764 0.0
7438.9506389575545 0.0
7440.937116488624 0.0
7442.5260054529845 0.0
7444.117336609644 0.0
7445.705737140088 0.0
7447.295602986739 0.0
7448.886934149603 0.0
7450.475334686237 0.0
7452.0681311673825 0.0
7453.656531708136 0.0
7455.248351317309 0.0
7456.8401709285445 0.0
7458.828113802786 0.0
7460.419444980602 0.0
7462.011264598529 0.0
7463.601130466294 0.0
7465.193438526386 0.0
7466.785258150479 0.0
7468.377077776624 0.0
7469.969385842877 0.0
7471.560228597009 0.0
7473.15400198154 0.0
7475.144875510423 0.0
7476.735229833146 0.0
7478.328026348213 0.0
7479.920822865327 0.0
7481.5155731367295 0.0
7483.106904343745 0.0
7484.701166181175 0.0
7486.293474268394 0.0
7487.886759233778 0.0
7489.480532639266 0.0
7491.074306046791 0.0
7493.066156480512 0.0
7494.660418330688 0.0
7496.254191744829 0.0
7497.84845359907 0.0
7499.442715455344 0.0
7501.03746575172 0.0
7502.631727612054 0.0
7504.225989474416 0.0
7505.821228214949 0.0
7507.41695539558 0.0
7509.01072882595 0.0
7511.005021478565 0.0
7512.600748665778 0.0
7514.195498978867 0.0
7515.791714608202 0.0
7517.386953363402 0.0
7518.983168996778 0.0
7520.579384632169 0.0
7522.174623393425 0.0
7523.770350594771 0.0
7525.367543112369 0.0
7526.963270317745 0.0
7528.959028312971 0.0
7530.555732399033 0.0
7532.152436487103 0.0
7533.749140577184 0.0
7535.346333107356 0.0
7536.944014077616 0.0
7538.541206611801 0.0
7540.1379107099065 0.0
7541.735103248098 0.0
7543.332784226381 0.0
7545.330007561567 0.0
7546.92768854435 0.0
7548.525369529133 0.0
7550.123050515913 0.0
7551.721708380865 0.0
7553.320366247819 0.0
7554.918535678675 0.0
7556.516705111524 0.0
7558.11536298446 0.0
7559.713043983201 0.0
7561.31219029821 0.0
7563.311367413817 0.0
7564.9105137333 0.0
7566.509171616678 0.0
7568.108317940138 0.0
7569.708441141773 0.0
7571.3075874691995 0.0
7572.907222236706 0.0
7574.505880130001 0.0
7576.106003339569 0.0
